X,CH1,CH2,Start,Increment,P(Psi),V_int (cc)
341,1.02E+00,8.76E+00,,,,
342,1.02E+00,8.92E+00,,,,
343,-1.02E+00,6.44E+00,,,,
344,-1.02E+00,6.92E+00,,,,
345,1.02E+00,8.80E+00,,,,
346,1.02E+00,7.08E+00,,,,
347,-1.02E+00,8.72E+00,,,,
348,1.02E+00,8.88E+00,,,,
349,-1.02E+00,7.12E+00,,,,
350,-7.44E-01,8.76E+00,,,,
351,9.92E-01,7.52E+00,,,,
352,-1.02E+00,7.12E+00,,,,
353,1.02E+00,8.92E+00,,,,
354,-1.02E+00,7.16E+00,,,,
355,1.02E+00,8.96E+00,,,,
356,-1.02E+00,7.12E+00,,,,
357,9.36E-01,8.92E+00,,,,
358,-1.02E+00,7.40E+00,,,,
359,1.02E+00,9.12E+00,,,,
360,9.60E-01,9.08E+00,,,,
361,-1.02E+00,7.32E+00,,,,
362,-9.52E-01,8.64E+00,,,,
363,4.88E-01,7.32E+00,,,,
364,-2.88E-01,8.52E+00,,,,
365,2.40E-02,8.20E+00,,,,
366,-2.88E-01,8.52E+00,,,,
367,4.00E-02,8.28E+00,,,,
368,-2.64E-01,8.28E+00,,,,
369,3.20E-02,8.56E+00,,,,
370,0.00E+00,8.56E+00,,,,
371,-2.72E-01,8.28E+00,,,,
372,1.60E-02,8.32E+00,,,,
373,-2.72E-01,8.56E+00,,,,
374,-8.00E-03,8.28E+00,,,,
375,-3.04E-01,8.56E+00,,,,
376,2.40E-02,8.32E+00,,,,
377,-2.48E-01,8.56E+00,,,,
378,-2.64E-01,8.56E+00,,,,
379,8.00E-03,8.32E+00,,,,
380,1.04E-01,8.28E+00,,,,
381,-2.64E-01,8.60E+00,,,,
382,3.20E-02,8.32E+00,,,,
383,-2.64E-01,8.56E+00,,,,
384,-2.88E-01,8.32E+00,,,,
385,3.20E-02,8.56E+00,,,,
386,-2.56E-01,8.28E+00,,,,
387,3.20E-02,8.56E+00,,,,
388,-2.88E-01,8.52E+00,,,,
389,2.40E-02,8.28E+00,,,,
390,-2.88E-01,8.32E+00,,,,
391,2.40E-02,8.56E+00,,,,
392,-3.20E-01,8.20E+00,,,,
393,2.40E-02,8.56E+00,,,,
394,4.80E-02,8.56E+00,,,,
395,-2.56E-01,8.28E+00,,,,
396,-2.72E-01,8.52E+00,,,,
397,4.00E-02,8.28E+00,,,,
398,-2.72E-01,8.56E+00,,,,
399,4.80E-02,8.28E+00,,,,
400,1.02E+00,6.88E+00,,,,
401,-9.12E-01,9.60E+00,,,,
402,1.02E+00,7.48E+00,,,,
403,-1.02E+00,9.56E+00,,,,
404,-1.02E+00,7.48E+00,,,,
405,8.24E-01,9.32E+00,,,,
406,-1.02E+00,7.40E+00,,,,
407,9.44E-01,9.40E+00,,,,
408,-1.02E+00,9.44E+00,,,,
409,9.84E-01,7.60E+00,,,,
410,9.20E-01,9.48E+00,,,,
411,-1.02E+00,7.68E+00,,,,
412,-1.02E+00,7.88E+00,,,,
413,1.02E+00,9.52E+00,,,,
414,-1.02E+00,9.52E+00,,,,
415,8.80E-01,7.92E+00,,,,
416,-1.02E+00,9.64E+00,,,,
417,8.72E-01,7.92E+00,,,,
418,-1.02E+00,8.00E+00,,,,
419,8.56E-01,9.72E+00,,,,
420,7.92E-01,9.48E+00,,,,
421,-1.02E+00,7.92E+00,,,,
422,9.60E-01,9.84E+00,,,,
423,-1.02E+00,7.92E+00,,,,
424,-4.00E-01,9.12E+00,,,,
425,-8.00E-02,8.88E+00,,,,
426,-7.20E-02,9.20E+00,,,,
427,-4.24E-01,8.88E+00,,,,
428,-3.60E-01,8.92E+00,,,,
429,-7.20E-02,9.24E+00,,,,
430,-3.92E-01,8.96E+00,,,,
431,-6.40E-02,9.20E+00,,,,
432,-5.60E-02,9.20E+00,,,,
433,-3.76E-01,8.88E+00,,,,
434,-6.40E-02,9.24E+00,,,,
435,-3.36E-01,8.92E+00,,,,
436,-3.84E-01,9.20E+00,,,,
437,-6.40E-02,8.92E+00,,,,
438,-3.60E-01,9.24E+00,,,,
439,-6.40E-02,8.92E+00,,,,
440,-2.40E-02,8.92E+00,,,,
441,-3.68E-01,9.24E+00,,,,
442,-4.80E-02,8.92E+00,,,,
443,-3.52E-01,9.20E+00,,,,
444,-2.40E-02,8.96E+00,,,,
445,-3.44E-01,9.20E+00,,,,
446,-2.40E-02,9.24E+00,,,,
447,-3.84E-01,8.92E+00,,,,
448,-3.60E-01,8.96E+00,,,,
449,-5.60E-02,9.24E+00,,,,
450,-6.40E-02,9.24E+00,,,,
451,-3.60E-01,8.96E+00,,,,
452,-2.40E-02,9.24E+00,,,,
453,-3.28E-01,8.92E+00,,,,
454,-3.44E-01,9.28E+00,,,,
455,-5.60E-02,8.92E+00,,,,
456,-3.36E-01,9.24E+00,,,,
457,-3.20E-02,8.88E+00,,,,
458,-2.40E-02,9.20E+00,,,,
459,-3.36E-01,8.92E+00,,,,
460,-1.02E+00,9.76E+00,,,,
461,9.36E-01,7.72E+00,,,,
462,-1.02E+00,7.84E+00,,,,
463,1.02E+00,1.01E+01,,,,
464,-1.02E+00,8.16E+00,,,,
465,8.48E-01,9.88E+00,,,,
466,-1.02E+00,8.04E+00,,,,
467,1.02E+00,1.01E+01,,,,
468,-1.02E+00,8.60E+00,,,,
469,9.68E-01,1.01E+01,,,,
470,-1.02E+00,1.00E+01,,,,
471,8.16E-01,8.60E+00,,,,
472,-1.02E+00,1.02E+01,,,,
473,7.28E-01,8.28E+00,,,,
474,-1.02E+00,1.02E+01,,,,
475,7.76E-01,8.40E+00,,,,
476,-1.02E+00,8.36E+00,,,,
477,7.84E-01,1.01E+01,,,,
478,7.36E-01,1.03E+01,,,,
479,-1.02E+00,8.92E+00,,,,
480,-1.02E+00,8.88E+00,,,,
481,7.28E-01,1.04E+01,,,,
482,-1.02E+00,8.60E+00,,,,
483,7.04E-01,1.02E+01,,,,
484,-1.02E+00,8.92E+00,,,,
485,4.88E-01,1.03E+01,,,,
486,-1.84E-01,9.52E+00,,,,
487,-5.20E-01,9.84E+00,,,,
488,-5.20E-01,9.56E+00,,,,
489,-1.84E-01,9.88E+00,,,,
490,-2.00E-01,9.88E+00,,,,
491,-5.60E-01,9.60E+00,,,,
492,-5.36E-01,9.88E+00,,,,
493,-2.24E-01,9.60E+00,,,,
494,-1.92E-01,9.88E+00,,,,
495,-4.88E-01,9.56E+00,,,,
496,-4.72E-01,9.64E+00,,,,
497,-2.00E-01,9.92E+00,,,,
498,-2.08E-01,9.64E+00,,,,
499,-5.20E-01,9.88E+00,,,,
500,-4.96E-01,9.88E+00,,,,
501,-2.16E-01,9.60E+00,,,,
502,-5.12E-01,9.88E+00,,,,
503,-2.24E-01,9.60E+00,,,,
504,-2.08E-01,9.96E+00,,,,
505,-5.04E-01,9.60E+00,,,,
506,-5.28E-01,9.92E+00,,,,
507,-2.24E-01,9.60E+00,,,,
508,-5.20E-01,9.60E+00,,,,
509,-1.76E-01,9.92E+00,,,,
510,-5.04E-01,9.64E+00,,,,
511,-1.92E-01,9.92E+00,,,,
512,-5.60E-01,9.64E+00,,,,
513,-1.92E-01,9.92E+00,,,,
514,-2.24E-01,9.88E+00,,,,
515,-5.20E-01,9.60E+00,,,,
516,-2.00E-01,9.88E+00,,,,
517,-4.96E-01,9.64E+00,,,,
518,1.02E+00,8.84E+00,,,,
519,-1.02E+00,1.09E+01,,,,
520,-1.02E+00,8.24E+00,,,,
521,1.01E+00,1.09E+01,,,,
522,-1.02E+00,9.20E+00,,,,
523,6.16E-01,1.06E+01,,,,
524,-1.02E+00,8.80E+00,,,,
525,7.36E-01,1.07E+01,,,,
526,-1.02E+00,1.07E+01,,,,
527,6.72E-01,9.20E+00,,,,
528,-1.02E+00,9.00E+00,,,,
529,6.88E-01,1.08E+01,,,,
530,-1.02E+00,1.09E+01,,,,
531,6.40E-01,9.04E+00,,,,
532,-1.02E+00,9.00E+00,,,,
533,6.40E-01,1.07E+01,,,,
534,-1.02E+00,1.10E+01,,,,
535,7.52E-01,9.40E+00,,,,
536,-1.02E+00,9.52E+00,,,,
537,2.24E-01,1.08E+01,,,,
538,-6.32E-01,1.04E+01,,,,
539,-3.28E-01,1.01E+01,,,,
540,-3.12E-01,1.04E+01,,,,
541,-6.32E-01,1.01E+01,,,,
542,-6.24E-01,1.01E+01,,,,
543,-3.20E-01,1.04E+01,,,,
544,-3.04E-01,1.04E+01,,,,
545,-6.24E-01,1.01E+01,,,,
546,-6.40E-01,1.04E+01,,,,
547,-3.44E-01,1.01E+01,,,,
548,-5.84E-01,1.04E+01,,,,
549,-3.04E-01,1.01E+01,,,,
550,-6.16E-01,1.01E+01,,,,
551,-2.88E-01,1.04E+01,,,,
552,-5.92E-01,1.04E+01,,,,
553,-2.80E-01,1.01E+01,,,,
554,-6.08E-01,1.04E+01,,,,
555,-3.20E-01,1.01E+01,,,,
556,-3.20E-01,1.02E+01,,,,
557,-6.16E-01,1.04E+01,,,,
558,-6.00E-01,1.02E+01,,,,
559,-3.20E-01,1.04E+01,,,,
560,-6.00E-01,1.04E+01,,,,
561,-3.28E-01,1.01E+01,,,,
562,-2.96E-01,1.04E+01,,,,
563,-6.08E-01,1.01E+01,,,,
564,-3.04E-01,1.04E+01,,,,
565,-6.08E-01,1.01E+01,,,,
566,-6.40E-01,1.04E+01,,,,
567,-2.88E-01,1.01E+01,,,,
568,-3.28E-01,1.04E+01,,,,
569,-6.48E-01,1.01E+01,,,,
570,-3.20E-01,1.01E+01,,,,
571,-6.72E-01,1.04E+01,,,,
572,-6.32E-01,1.04E+01,,,,
573,-3.28E-01,1.01E+01,,,,
574,-1.02E+00,1.09E+01,,,,
575,5.84E-01,9.28E+00,,,,
576,-1.02E+00,8.84E+00,,,,
577,1.02E+00,1.11E+01,,,,
578,-1.02E+00,1.11E+01,,,,
579,9.04E-01,9.24E+00,,,,
580,-1.02E+00,9.16E+00,,,,
581,1.92E-01,1.09E+01,,,,
582,-1.02E+00,1.11E+01,,,,
583,5.20E-01,9.28E+00,,,,
584,-1.02E+00,9.32E+00,,,,
585,5.04E-01,1.11E+01,,,,
586,-1.02E+00,1.11E+01,,,,
587,5.44E-01,9.64E+00,,,,
588,-1.02E+00,1.11E+01,,,,
589,5.36E-01,9.68E+00,,,,
590,-1.02E+00,1.11E+01,,,,
591,5.12E-01,9.60E+00,,,,
592,-1.02E+00,1.11E+01,,,,
593,4.88E-01,9.60E+00,,,,
594,-1.02E+00,1.11E+01,,,,
595,4.88E-01,9.60E+00,,,,
596,-1.02E+00,1.11E+01,,,,
597,4.88E-01,1.01E+01,,,,
