X,CH1,CH2,CH3,,
Sequence,Volt,Volt,Volt,Start,Increment
463,-1.04E+00,6.00E+00,0.00E+00,,
464,-1.04E+00,6.40E+00,-3.00E-01,,
465,1.04E+00,8.60E+00,0.00E+00,,
466,9.60E-01,8.00E+00,-1.00E-01,,
467,-1.44E+00,6.00E+00,-3.00E-01,,
468,9.60E-01,6.40E+00,-3.00E-01,,
469,-1.12E+00,8.60E+00,0.00E+00,,
470,-1.12E+00,6.40E+00,0.00E+00,,
471,1.20E+00,8.60E+00,-3.00E-01,,
472,-1.52E+00,5.80E+00,-2.00E-01,,
473,1.36E+00,8.20E+00,0.00E+00,,
474,-1.52E+00,5.80E+00,0.00E+00,,
475,1.12E+00,8.60E+00,-3.00E-01,,
476,1.36E+00,8.00E+00,0.00E+00,,
477,-1.52E+00,6.20E+00,-3.00E-01,,
478,-7.20E-01,6.60E+00,-3.00E-01,,
479,1.44E+00,8.20E+00,0.00E+00,,
480,-1.44E+00,5.80E+00,0.00E+00,,
481,1.04E+00,8.20E+00,-3.00E-01,,
482,-1.60E+00,5.80E+00,-3.00E-01,,
483,1.44E+00,8.20E+00,0.00E+00,,
484,-1.60E+00,7.80E+00,-3.00E-01,,
485,5.60E-01,6.20E+00,0.00E+00,,
486,-1.36E+00,6.40E+00,0.00E+00,,
487,6.40E-01,8.00E+00,-3.00E-01,,
488,1.36E+00,8.40E+00,-3.00E-01,,
489,-1.12E+00,6.40E+00,0.00E+00,,
490,-1.04E+00,8.20E+00,0.00E+00,,
491,1.36E+00,6.60E+00,-3.00E-01,,
492,-1.36E+00,6.40E+00,-3.00E-01,,
493,1.44E+00,8.60E+00,0.00E+00,,
494,-9.60E-01,8.60E+00,-3.00E-01,,
495,1.12E+00,6.40E+00,0.00E+00,,
496,-1.44E+00,6.40E+00,0.00E+00,,
497,1.12E+00,8.80E+00,-3.00E-01,,
498,-1.60E+00,5.80E+00,-3.00E-01,,
499,1.28E+00,8.40E+00,0.00E+00,,
500,-1.52E+00,8.80E+00,0.00E+00,,
501,1.20E+00,6.20E+00,-3.00E-01,,
502,-1.12E+00,6.60E+00,-2.00E-01,,
503,1.20E+00,8.40E+00,0.00E+00,,
504,1.12E+00,6.00E+00,-3.00E-01,,
505,-1.68E+00,8.80E+00,0.00E+00,,
506,-1.12E+00,6.60E+00,0.00E+00,,
507,7.20E-01,9.00E+00,-3.00E-01,,
508,1.28E+00,8.80E+00,-3.00E-01,,
509,-1.36E+00,6.40E+00,0.00E+00,,
510,1.20E+00,8.40E+00,0.00E+00,,
511,-9.60E-01,7.00E+00,-3.00E-01,,
512,-1.12E+00,8.40E+00,0.00E+00,,
513,8.80E-01,6.40E+00,-3.00E-01,,
514,-1.52E+00,6.00E+00,-3.00E-01,,
515,1.36E+00,8.60E+00,0.00E+00,,
516,-1.20E+00,6.40E+00,0.00E+00,,
517,1.36E+00,8.80E+00,-3.00E-01,,
518,1.04E+00,8.60E+00,-3.00E-01,,
519,-1.52E+00,6.40E+00,0.00E+00,,
520,-1.28E+00,8.60E+00,0.00E+00,,
521,1.12E+00,6.80E+00,-3.00E-01,,
522,-1.68E+00,6.00E+00,-2.00E-01,,
523,7.20E-01,8.80E+00,0.00E+00,,
524,-1.52E+00,6.40E+00,-3.00E-01,,
525,8.80E-01,8.60E+00,0.00E+00,,
526,-1.44E+00,6.40E+00,0.00E+00,,
527,1.04E+00,9.00E+00,-3.00E-01,,
528,1.28E+00,8.80E+00,-3.00E-01,,
529,-1.60E+00,6.40E+00,0.00E+00,,
