X,CH1,CH2,Start,Increment,P(Psi),V_int (cc)
Sequence,Volt,Volt,-2.50E+00,5.00E-03,8.5,11.73
567,8.80E-01,9.80E+00,,,,
568,-1.12E+00,7.80E+00,,,,
569,1.20E+00,9.60E+00,,,,
570,-8.00E-01,9.60E+00,,,,
571,9.60E-01,7.80E+00,,,,
572,9.60E-01,7.40E+00,,,,
573,-1.04E+00,9.80E+00,,,,
574,1.20E+00,7.40E+00,,,,
575,-1.04E+00,9.60E+00,,,,
576,-1.28E+00,7.80E+00,,,,
577,1.12E+00,9.80E+00,,,,
578,9.60E-01,9.80E+00,,,,
579,-1.04E+00,7.40E+00,,,,
580,1.12E+00,1.00E+01,,,,
581,-1.20E+00,7.60E+00,,,,
582,1.12E+00,7.60E+00,,,,
583,-1.44E+00,9.80E+00,,,,
584,8.80E-01,9.60E+00,,,,
585,-1.36E+00,7.60E+00,,,,
586,-1.04E+00,1.00E+01,,,,
587,1.28E+00,7.60E+00,,,,
588,6.40E-01,8.00E+00,,,,
589,-1.20E+00,1.00E+01,,,,
590,-9.60E-01,8.00E+00,,,,
591,1.20E+00,9.80E+00,,,,
592,-1.20E+00,8.00E+00,,,,
593,1.20E+00,1.00E+01,,,,
594,1.12E+00,1.00E+01,,,,
595,-9.60E-01,8.00E+00,,,,
596,1.28E+00,8.00E+00,,,,
597,-9.60E-01,1.00E+01,,,,
598,-1.20E+00,8.00E+00,,,,
599,9.60E-01,1.00E+01,,,,
600,1.28E+00,1.00E+01,,,,
601,-1.20E+00,7.60E+00,,,,
602,8.80E-01,9.80E+00,,,,
603,-8.80E-01,8.00E+00,,,,
604,1.04E+00,1.00E+01,,,,
605,-1.20E+00,8.00E+00,,,,
606,-1.04E+00,1.02E+01,,,,
607,8.80E-01,7.80E+00,,,,
608,-1.04E+00,1.04E+01,,,,
609,1.12E+00,8.20E+00,,,,
610,1.12E+00,1.04E+01,,,,
611,-1.04E+00,8.40E+00,,,,
612,-1.36E+00,1.02E+01,,,,
613,1.12E+00,7.80E+00,,,,
614,-1.52E+00,8.00E+00,,,,
615,1.28E+00,1.00E+01,,,,
616,9.60E-01,1.02E+01,,,,
617,-1.36E+00,8.00E+00,,,,
618,1.04E+00,1.00E+01,,,,
619,-1.04E+00,8.00E+00,,,,
620,-1.04E+00,8.20E+00,,,,
621,8.80E-01,1.04E+01,,,,
622,1.20E+00,8.20E+00,,,,
623,-1.04E+00,1.04E+01,,,,
624,8.80E-01,1.02E+01,,,,
625,-1.04E+00,8.20E+00,,,,
626,-1.36E+00,1.02E+01,,,,
627,7.20E-01,8.20E+00,,,,
628,8.80E-01,8.60E+00,,,,
629,-1.12E+00,1.02E+01,,,,
630,9.60E-01,8.60E+00,,,,
631,-7.20E-01,1.04E+01,,,,
632,-1.20E+00,8.40E+00,,,,
633,1.04E+00,1.02E+01,,,,
634,1.04E+00,1.06E+01,,,,
635,-1.04E+00,8.60E+00,,,,
636,8.80E-01,1.04E+01,,,,
637,-1.20E+00,8.20E+00,,,,
638,9.60E-01,1.02E+01,,,,
639,-8.00E-01,8.20E+00,,,,
640,-1.36E+00,8.00E+00,,,,
641,8.80E-01,1.02E+01,,,,
642,8.80E-01,8.60E+00,,,,
643,-1.12E+00,1.02E+01,,,,
644,9.60E-01,1.06E+01,,,,
645,-1.36E+00,8.20E+00,,,,
646,1.12E+00,8.60E+00,,,,
647,-8.00E-01,1.06E+01,,,,
648,1.12E+00,1.08E+01,,,,
649,-9.60E-01,8.40E+00,,,,
650,8.00E-01,8.60E+00,,,,
651,-1.36E+00,1.06E+01,,,,
652,1.04E+00,1.04E+01,,,,
653,-1.44E+00,8.40E+00,,,,
654,-1.12E+00,8.40E+00,,,,
655,1.20E+00,1.06E+01,,,,
656,9.60E-01,1.08E+01,,,,
657,-1.44E+00,8.40E+00,,,,
658,1.20E+00,1.04E+01,,,,
659,-1.04E+00,8.60E+00,,,,
660,-1.36E+00,1.02E+01,,,,
661,8.00E-01,8.40E+00,,,,
662,1.04E+00,1.06E+01,,,,
663,-8.80E-01,8.80E+00,,,,
664,-9.60E-01,8.80E+00,,,,
665,1.04E+00,1.08E+01,,,,
666,-1.04E+00,8.40E+00,,,,
667,8.80E-01,1.04E+01,,,,
668,1.04E+00,8.80E+00,,,,
